date,sale,stock,price
2021-06-08,119,910,1.19
2021-06-09,122,788,1.19
2021-06-10,149,639,1.19
2021-06-11,111,720,1.19
2021-06-12,95,721,1.19
2021-06-13,237,675,1.19
2021-06-14,110,565,1.19
2021-06-15,104,653,1.19
2021-06-16,61,592,1.19
2021-06-17,40,1127,1.29
2021-06-18,114,1301,1.29
2021-06-19,129,1172,1.29
2021-06-20,111,1061,1.29
2021-06-21,146,915,1.29
2021-06-22,57,858,1.49
2021-06-23,19,839,1.49
2021-06-24,27,1291,1.49
2021-06-25,62,1229,1.49
2021-06-26,95,1902,1.49
2021-06-27,183,1719,1.39
2021-06-28,94,1624,1.39
2021-06-29,116,1606,1.39
2021-06-30,63,1543,1.39
2021-07-01,147,1396,1.39
2021-07-02,101,1295,1.39
2021-07-03,248,1047,1.29
2021-07-04,142,905,1.29
2021-07-05,186,719,1.29
2021-07-06,109,898,1.29
2021-07-07,228,957,1.29
2021-07-08,66,1083,1.29
2021-07-09,182,901,1.29
2021-07-10,1,996,1.29
2021-07-11,64,1124,1.29
2021-07-12,118,1006,1.29
2021-07-13,55,950,1.29
2021-07-14,43,907,1.27
2021-07-15,95,812,1.28
2021-07-16,54,758,1.28
2021-07-17,85,673,1.28
2021-07-18,92,869,1.27
2021-07-19,61,808,1.28
2021-07-20,111,697,1.27
2021-07-21,7,1170,1.28
2021-07-22,4,1262,1.28
2021-07-23,66,1292,1.27
2021-07-24,95,1197,1.28
2021-07-25,190,1103,1.27
2021-07-26,60,1043,1.28
2021-07-27,42,1097,1.27
2021-07-28,79,1306,1.27
2021-07-29,109,1581,1.27
2021-07-30,165,1416,1.28
2021-07-31,99,1317,1.27
2021-08-01,233,1084,1.48
2021-08-02,16,1067,1.48
2021-08-03,2,1065,1.46
2021-08-04,5,1060,1.47
2021-08-05,22,1038,1.48
2021-08-06,8,1030,1.49
2021-08-07,65,321,1.48
2021-08-08,157,451,1.48
2021-08-09,65,386,1.48
2021-08-10,90,296,1.48
2021-08-11,3,1157,1.18
2021-08-12,5,1152,1.18
2021-08-13,1,2021,1.19
2021-08-14,65,2046,1.18
2021-08-15,235,1811,1.17
2021-08-16,76,1735,1.18
2021-08-17,2,1733,1.19
2021-08-18,101,1632,1.18
2021-08-19,162,1470,1.17
2021-08-20,25,1446,1.17
2021-08-21,4,1442,1.16
2021-08-22,1,1441,1.19
2021-08-23,75,1366,1.17
2021-08-24,32,1334,1.18
2021-08-25,76,1258,1.18
2021-08-26,6,1252,1.17
2021-08-27,65,1285,1.18
2021-08-28,145,1140,1.17
2021-08-29,78,1062,1.17
2021-08-30,6,1055,1.18
2021-08-31,0,1151,1.19
2021-09-01,126,1217,1.18
2021-09-02,240,1073,1.17
2021-09-03,67,1006,1.68
2021-09-04,140,863,1.68
2021-09-05,208,655,1.68
2021-09-06,76,579,1.68
2021-09-07,240,339,1.68
2021-09-08,52,575,1.01
2021-09-09,111,464,0.94
2021-09-10,176,288,0.97
2021-09-11,84,300,1.01
2021-09-12,171,129,1
2021-09-13,102,27,0.99
2021-09-14,69,0,0.97
2021-09-15,77,0,0.93
2021-09-16,174,0,0.97
2021-09-17,69,0,1.68
2021-09-18,52,930,1.68
2021-09-19,42,1080,1.68
2021-09-20,1,1079,1.69
2021-09-21,62,1016,1.68
2021-09-22,88,928,1.68
2021-09-23,60,1348,1.68
2021-09-24,2,1442,1.66
2021-09-25,3,1631,1.69
2021-09-26,9,1622,1.76
2021-09-27,142,1480,1.78
2021-09-28,90,1580,1.78
2021-09-29,20,1560,1.78
2021-09-30,37,1523,1.78
2021-10-01,86,1437,1.78
2021-10-02,166,1367,1.78
2021-10-03,391,976,1.48
2021-10-04,56,919,1.47
2021-10-05,64,951,1.47
2021-10-06,35,916,1.48
2021-10-07,40,875,1.47
2021-10-08,21,1526,1.48
2021-10-09,42,1484,1.48
2021-10-10,95,1389,1.48
2021-10-11,85,1304,1.48
2021-10-12,140,1356,1.47
2021-10-13,80,1276,1.48
2021-10-14,91,1185,1.48
2021-10-15,65,1120,1.48
2021-10-16,166,1146,1.48
2021-10-17,137,1297,1.48
2021-10-18,174,1123,1.48
2021-10-19,120,1291,1.48
2021-10-20,93,1198,1.78
2021-10-21,100,1096,1.78
2021-10-22,137,1055,1.27
2021-10-23,241,1006,1.27
2021-10-24,113,893,1.27
2021-10-25,257,636,1.28
2021-10-26,166,474,1.28
2021-10-27,162,312,1.28
2021-10-28,247,1121,1.28
2021-10-29,70,1435,1.78
2021-10-30,139,1296,1.35
2021-10-31,195,1293,1.34
2021-11-01,206,1087,1.34
2021-11-02,268,819,1.35
2021-11-03,59,760,1.35
2021-11-04,99,1237,1.34
2021-11-05,63,1366,1.75
2021-11-06,77,1577,1.76
2021-11-07,232,1345,2.18
2021-11-08,157,1188,2.18
2021-11-09,107,1081,2.19
2021-11-10,57,1023,2.18
2021-11-11,95,930,2.18
2021-11-12,86,844,2.19
2021-11-13,102,742,2.19
2021-11-14,184,846,1.79
2021-11-15,138,708,1.79
2021-11-16,106,698,2.19
2021-11-17,89,609,2.19
2021-11-18,107,502,2.19
2021-11-19,78,424,2.19
2021-11-20,185,238,2.19
2021-11-21,151,87,2.19
2021-11-22,97,0,2.19
2021-11-23,76,0,2.19
2021-11-24,140,0,2.19
2021-11-25,137,0,2.67
2021-11-26,84,0,2.69
2021-11-27,0,0,2.69
2021-11-28,7,0,2.69
2021-11-29,5,0,2.69
2021-11-30,22,0,2.69
2021-12-01,36,0,2.29
2021-12-02,36,1655,2.29
2021-12-03,38,2001,2.29
2021-12-04,95,1905,2.29
2021-12-05,108,1893,2.25
2021-12-06,70,1823,2.29
2021-12-07,78,1745,2.29
2021-12-08,77,1668,2.29
2021-12-09,76,1880,2.29
2021-12-10,59,1821,2.29
2021-12-11,42,1779,2.29
2021-12-12,142,1637,2.29
2021-12-13,116,1521,2.29
2021-12-14,57,1848,2.29
2021-12-15,167,1681,2.29
2021-12-16,154,1527,2.29
2021-12-17,139,1964,1.39
2021-12-18,192,1772,1.39
2021-12-19,295,2533,1.39
2021-12-20,311,2222,1.39
2021-12-21,251,1971,1.39
2021-12-22,377,1594,1.39
2021-12-23,410,1184,1.39
2021-12-24,161,1023,1.39
2021-12-25,0,1023,1.39
2021-12-26,212,811,1.39
